target,Precio_leche_rolling3_mean,Coquimbo_rolling3_mean,Valparaiso_rolling3_mean,Metropolitana_de_Santiago_rolling3_mean,Libertador_Gral__Bernardo_O_Higgins_rolling3_mean,Maule_rolling3_mean,Biobio_rolling3_mean,La_Araucania_rolling3_mean,Los_Rios_rolling3_mean,PIB_Agropecuario_silvicola_rolling3_mean,PIB_Pesca_rolling3_mean,PIB_Mineria_rolling3_mean,PIB_Mineria_del_cobre_rolling3_mean,PIB_Otras_actividades_mineras_rolling3_mean,PIB_Industria_Manufacturera_rolling3_mean,PIB_Alimentos_rolling3_mean,PIB_Bebidas_y_tabaco_rolling3_mean,PIB_Textil_rolling3_mean,PIB_Maderas_y_muebles_rolling3_mean,PIB_Celulosa_rolling3_mean,PIB_Refinacion_de_petroleo_rolling3_mean,PIB_Quimica_rolling3_mean,PIB_Minerales_no_metalicos_y_metalica_basica_rolling3_mean,PIB_Productos_metalicos_rolling3_mean,PIB_Electricidad_rolling3_mean,PIB_Construccion_rolling3_mean,PIB_Comercio_rolling3_mean,PIB_Restaurantes_y_hoteles_rolling3_mean,PIB_Transporte_rolling3_mean,PIB_Comunicaciones_rolling3_mean,PIB_Servicios_financieros_rolling3_mean,PIB_Servicios_empresariales_rolling3_mean,PIB_Servicios_de_vivienda_rolling3_mean,PIB_Servicios_personales_rolling3_mean,PIB_Administracion_publica_rolling3_mean,PIB_a_costo_de_factores_rolling3_mean,PIB_rolling3_mean,Imacec_empalmado_rolling3_mean,Imacec_produccion_de_bienes_rolling3_mean,Imacec_minero_rolling3_mean,Imacec_industria_rolling3_mean,Imacec_resto_de_bienes_rolling3_mean,Imacec_comercio_rolling3_mean,Imacec_servicios_rolling3_mean,Imacec_a_costo_de_factores_rolling3_mean,Imacec_no_minero_rolling3_mean,Indice_de_ventas_comercio_real_no_durables_IVCM_rolling3_mean,Precio_leche_rolling3_std,Coquimbo_rolling3_std,Valparaiso_rolling3_std,Metropolitana_de_Santiago_rolling3_std,Libertador_Gral__Bernardo_O_Higgins_rolling3_std,Maule_rolling3_std,Biobio_rolling3_std,La_Araucania_rolling3_std,Los_Rios_rolling3_std,PIB_Agropecuario_silvicola_rolling3_std,PIB_Pesca_rolling3_std,PIB_Mineria_rolling3_std,PIB_Mineria_del_cobre_rolling3_std,PIB_Otras_actividades_mineras_rolling3_std,PIB_Industria_Manufacturera_rolling3_std,PIB_Alimentos_rolling3_std,PIB_Bebidas_y_tabaco_rolling3_std,PIB_Textil_rolling3_std,PIB_Maderas_y_muebles_rolling3_std,PIB_Celulosa_rolling3_std,PIB_Refinacion_de_petroleo_rolling3_std,PIB_Quimica_rolling3_std,PIB_Minerales_no_metalicos_y_metalica_basica_rolling3_std,PIB_Productos_metalicos_rolling3_std,PIB_Electricidad_rolling3_std,PIB_Construccion_rolling3_std,PIB_Comercio_rolling3_std,PIB_Restaurantes_y_hoteles_rolling3_std,PIB_Transporte_rolling3_std,PIB_Comunicaciones_rolling3_std,PIB_Servicios_financieros_rolling3_std,PIB_Servicios_empresariales_rolling3_std,PIB_Servicios_de_vivienda_rolling3_std,PIB_Servicios_personales_rolling3_std,PIB_Administracion_publica_rolling3_std,PIB_a_costo_de_factores_rolling3_std,PIB_rolling3_std,Imacec_empalmado_rolling3_std,Imacec_produccion_de_bienes_rolling3_std,Imacec_minero_rolling3_std,Imacec_industria_rolling3_std,Imacec_resto_de_bienes_rolling3_std,Imacec_comercio_rolling3_std,Imacec_servicios_rolling3_std,Imacec_a_costo_de_factores_rolling3_std,Imacec_no_minero_rolling3_std,Indice_de_ventas_comercio_real_no_durables_IVCM_rolling3_std,Precio_leche,Coquimbo,Valparaiso,Metropolitana_de_Santiago,Libertador_Gral__Bernardo_O_Higgins,Maule,Biobio,La_Araucania,Los_Rios,PIB_Agropecuario_silvicola,PIB_Pesca,PIB_Mineria,PIB_Mineria_del_cobre,PIB_Otras_actividades_mineras,PIB_Industria_Manufacturera,PIB_Alimentos,PIB_Bebidas_y_tabaco,PIB_Textil,PIB_Maderas_y_muebles,PIB_Celulosa,PIB_Refinacion_de_petroleo,PIB_Quimica,PIB_Minerales_no_metalicos_y_metalica_basica,PIB_Productos_metalicos,PIB_Electricidad,PIB_Construccion,PIB_Comercio,PIB_Restaurantes_y_hoteles,PIB_Transporte,PIB_Comunicaciones,PIB_Servicios_financieros,PIB_Servicios_empresariales,PIB_Servicios_de_vivienda,PIB_Servicios_personales,PIB_Administracion_publica,PIB_a_costo_de_factores,PIB,Imacec_empalmado,Imacec_produccion_de_bienes,Imacec_minero,Imacec_industria,Imacec_resto_de_bienes,Imacec_comercio,Imacec_servicios,Imacec_a_costo_de_factores,Imacec_no_minero,Indice_de_ventas_comercio_real_no_durables_IVCM
187.38,189.35333333333332,14.341732032993525,22.959274900016798,37.49739374611445,47.334124047349725,51.0127925458776,55.35101509701318,78.39050274374644,106.87194234599951,223594177.33333334,515361047.0,136103364.66666666,120587264.66666667,157093615.66666666,90255933.33333333,329938573.6666667,120584457.66666667,322794953.3333333,704574063.3333334,388983625.3333333,656747073.3333334,191117777.0,550053738.0,225683929.66666666,357924950.0,594574564.3333334,81548701.33333333,167478829.0,437718797.3333333,283102838.3333333,622211498.0,129910261.33333333,898510161.0,142887051.33333334,564771209.0,115285530.0,126391032.33333333,110.0033333333334,107.97466666666658,107.84866666666669,102.18833333333335,113.25333333333337,108.35133333333333,111.08400000000006,109.6323333333333,110.2646666666667,112.09799999999997,2.9040890711771468,22.31256658907105,30.479620362586296,47.76990186536777,61.832296962553706,73.53288633399744,55.57746475040856,29.494104589664655,5.455199047893354,182906296.5822064,88032278.05102652,6619292.218233755,6253934.772832755,3012186.78146503,66544848.24229199,3891959.5109722363,103333519.51485832,21671153.463024106,3198495.128817486,491581522.9808024,475139372.36057764,7230586.237785487,407767940.91424555,13198319.761161143,11831522.07488375,423952521.18183,63611846.54112836,123842214.27917653,324691495.6633598,241672824.61431277,16425919.173212398,6302888.743395682,17225779.08643171,23732821.421306465,2521798.0232750606,3407855.0657164836,4553807.856205672,3.963663751295449,7.603964908739,5.24503139488536,2.505467887108885,14.822867749977846,16.88388418976313,3.968387077894453,3.2410494185268384,3.989012074854285,18.332711174291717,186.0,0.27273856163438803,0.2830844170280869,0.6887919481081151,0.410341083079345,0.513311147451178,20.054594385321305,71.4964813238232,103.072700465988,391886567,413886267,143403422,127470229,160539209,13417807,325455936,189212986,346238489,708258387,111358257,109799148,183215781,764544119,240910301,369343541,106566861,133204507,244769754,628692381,435003536,640850969,130935729,911955915,115483503,567576286,118682457,131191864,114.182,116.653,113.633,105.061,129.655,127.714,107.084,112.863,114.248,133.265
216.55,220.66000000000008,5.964873645324378,12.80590912018745,42.881040243040246,68.64443408333972,114.06519967320894,163.14468099884928,187.1666488647462,235.69025869640586,256685759.66666666,624202484.6666666,131242132.33333333,116856620.0,102636728.0,131863096.66666667,239441729.66666666,116843011.33333333,298632583.6666667,730085840.3333334,102715840.33333333,68940445.33333333,198407551.66666666,724660622.0,153900321.33333334,147159712.33333334,597789647.3333334,45156130.0,255310516.33333334,475290087.3333333,454201648.6666667,680599412.6666666,126235318.33333333,669194445.3333334,167512583.33333334,593492690.6666666,117616223.33333333,128839723.33333333,112.13300000000005,103.57499999999993,103.96833333333332,103.21866666666665,103.26966666666665,105.75833333333337,119.06600000000005,111.84699999999998,112.9566666666667,105.40999999999993,2.3464015001706655,7.457137517192811,12.600434558559092,34.528421065887066,44.70543498951041,71.40866681886727,70.97411492635365,58.09832130626187,50.52278580965472,81125949.00405735,110615634.6330829,7060509.905102469,7261029.335855105,76544952.53623147,10889923.628132712,180275120.92704624,87204485.0315364,40628385.19218112,85411638.59148522,1039546.7354056286,51177990.75787244,17756002.95371859,88563338.67095488,114062105.23313518,193635447.91364384,459583954.28162605,59400791.946812354,11803795.636393037,357021729.4869281,36512048.9450372,4405031.032160992,6999788.555051607,493670888.63353086,14411206.622725975,1117818.3403048487,7039172.349374392,7532204.662945405,6.555132111559635,9.18182765031022,5.631177881521113,8.577013602258862,15.559773852255464,5.679713402393894,5.152297836887711,6.692197471682882,6.98489121843237,2.305921290937788,218.7,1.05261437987872,2.5005194794797903,10.849798643236499,21.831472857238694,54.058028356009395,106.914740729839,144.556915364552,197.28914726119305,326277302,669805294,139046169,124790636,143891147,135923432,36320119,177725941,315394147,738118226,102259739,91640687,205330168,731206649,24369205,37564897,902451235,113743746,268398632,679166572,494016595,685384556,134313035,99160721,176458238,594532906,123763514,135474911,117.91,111.472,110.181,106.427,116.438,109.056,123.902,117.69,118.676,106.018
240.99,229.9333333333334,1.0565925911941352,0.9670238112889517,6.397019017959718,15.71901294684542,44.506766485824166,80.12738259527703,118.62363036449409,179.0810161002438,388396529.6666667,234381461.0,126372643.33333333,114684686.33333333,117462655.0,132552404.66666667,251239964.33333334,177512653.33333334,345522496.6666667,289631758.6666667,633801059.3333334,400838716.3333333,123860817.33333333,696353576.3333334,217029855.0,239456838.66666666,735018442.3333334,90069452.33333333,242842940.66666666,403164326.0,402572481.0,471282590.6666667,117361289.33333333,928259260.3333334,386736467.0,575347287.0,116462800.33333333,87048516.66666667,110.69233333333341,109.72933333333326,100.11000000000003,103.77166666666665,122.02166666666665,120.44200000000002,109.47000000000007,110.75166666666665,111.80166666666669,105.73033333333329,7.33013187694043,1.1283919416061252,0.5151467381270243,5.904102006831786,9.973651206172375,34.898385238727386,60.30806979241878,82.96202686619269,128.5512198612953,318635217.1416981,232031127.77694863,7278935.246194561,6746416.20641947,5428063.000479344,8941300.420291482,187024084.69064742,15648928.796001822,25789490.52367177,377740537.84814614,548342662.5585203,503545913.21428937,91634626.10722554,37477646.84332935,17587569.097154558,178968519.5923934,56287310.68124132,67985530.29173389,2332500.3404357587,348697015.53253305,14811548.605011698,350200865.57895225,6598383.471911597,3917336.3862710097,373046388.31456965,2201165.625060811,7875761.335013876,64100921.534194015,7.33659882597744,5.341209257587175,5.785525040996677,7.027507263129213,9.205402236368212,8.098267222066669,10.995030695727907,7.489660895750378,7.618548046270609,5.40030854056817,236.85,0.7929934637730609,0.9266883135628101,13.148741609398199,24.4216589521068,80.9553410503114,136.480086476245,185.776047258457,256.04032274980597,403354482,93757554,124385237,112968888,114693726,138610875,37402925,194452697,370841871,725802748,1034824,107493843,19489647,717298798,227231646,33084541,771052979,123406294,244276026,612630111,419067114,668992277,124862109,932720591,174708802,577423054,119393917,130081741,113.216,107.01,98.5,108.53,112.147,118.32,117.3,113.539,114.806,104.502
197.41,199.86333333333334,4.098875813770518,13.168739182791905,21.919177894759702,26.69829973222295,43.39694401458598,71.75418659886151,99.92595839034391,131.53860888698853,175055832.0,292615676.6666667,125615465.0,78329100.66666667,103951553.66666667,124203042.66666667,214895065.0,158848457.33333334,321209359.0,519314191.6666667,388198157.6666667,897292575.0,194100199.0,523557741.6666667,143835872.0,324637839.6666667,822453987.0,103308949.66666667,173519357.0,628810521.0,305457320.0,627783159.3333334,123718811.33333333,631017665.3333334,155357248.66666666,576744667.3333334,76513206.66666667,122236563.66666667,106.38766666666673,99.21266666666656,99.50366666666669,97.248,100.80266666666667,99.01000000000003,112.55200000000006,106.175,107.11866666666667,101.51266666666663,2.525556044385527,5.187775189678848,19.078134402075555,31.96208207822784,38.066060375976534,45.838752918097235,62.35388830599821,54.800919529478286,41.57088995043342,146723972.74106374,216315724.11182198,4393792.874976881,58543409.31570252,77211647.19739728,4244236.671343398,157517079.40364036,7274590.410740868,27024647.64841466,389939473.5342181,498704064.673278,67356258.78797272,8247841.836092587,387624344.7256434,105177225.91740796,13349909.819361504,82390147.9014981,4679071.842463043,129800835.9938083,20750665.108176015,231199688.56775695,1840104.7163290076,7465118.832313223,470015805.83281296,12186257.197038088,778437.590562018,56186282.25732941,5772202.635983561,5.0239475846523005,6.719008954699611,3.506285831664835,3.3237370533784136,12.350517452047626,4.521758507483601,4.43214925290194,5.20750352856334,5.199524241056404,0.7883262860859912,197.44,2.3651372489440297,4.41784091189794,5.973624159300691,6.39207751479491,15.1670049957547,26.6975465274238,62.4570677903256,97.5963952633762,319873125,55689498,130629404,115590788,15229578,128841416,33300818,166818188,345796928,746917618,101758277,821476071,203612924,76693649,22390598,338167218,898205212,108710418,254089569,643028365,460795367,627712052,132316063,916833751,161673849,577221026,11712275,128072255,111.467,105.938,103.511,100.882,112.23,104.23,116.69,111.379,112.309,102.321
238.65,231.69666666666672,46.221551192702286,45.230216455686026,53.220190175157775,74.48025842059485,76.50529396209988,93.42249331068469,118.98702214423345,180.07788542814038,422470325.6666667,617548791.6666666,115142480.33333333,338055014.3333333,119643273.33333333,129574697.33333333,271626019.3333333,158948677.66666666,335991232.0,687735610.6666666,662002956.0,641698295.6666666,184398694.0,494295291.6666667,207508142.66666666,319663488.0,739230213.0,80883926.66666667,230425820.66666666,603845563.6666666,395214435.3333333,628748544.6666666,116736772.66666667,897566318.3333334,114383396.0,572524897.3333334,114306705.0,124859913.66666667,108.67100000000006,102.48166666666656,91.21100000000001,101.45433333333335,110.83999999999997,115.41333333333337,111.8223333333334,108.70133333333332,110.40066666666671,105.22266666666663,8.218420367280906,79.46189043970483,71.66122857050702,59.21590544604325,74.34327812296638,57.69340537626674,65.816653998538,49.79104116749351,88.17915874514199,166458020.22922912,428485591.2748108,12463318.203587454,487671057.101753,4100791.7490855013,7602062.18087088,205706103.80908602,4743573.990372449,12147316.779499192,56618432.18677163,485217535.5747605,467698543.13255334,8781949.008252084,368730796.17114055,12152614.064001841,11953946.77763167,4922333.655501829,58655758.33050716,3754478.1151981694,16550193.807459066,12253617.413107062,6287221.608101128,5579153.18069995,2999717.155413864,84432195.40918092,2629284.4080829625,2251528.1912022918,2849030.9039886566,2.4796364652908847,4.988896905462555,9.875584185252045,5.955604111535094,14.442046253907353,9.41292963605555,1.8741270856940657,2.141146032696617,3.281448816198897,3.692818751757792,240.72,137.975549003501,127.865016287023,118.52947998686899,156.639922575248,140.208668970625,167.463038419155,172.49256674424404,270.70660199305803,290786889,816762875,127249927,11603557,115353316,133333048,381805615,157030601,345675861,699819591,102245377,105170986,189742179,70641659,216425157,325252655,733632417,115780956,227785854,604429516,406724366,628677082,120712171,900771436,16940889,575376062,114423232,125011332,108.803,101.588,100.833,104.399,99.9,111.009,113.574,108.812,109.642,105.5
254.1,249.50666666666677,0.7239542470372422,1.7892965385659905,5.86994407654239,7.903529720559047,15.537681647504689,36.83632312804879,62.74604720650505,110.3770974863201,339732320.0,417435554.6666667,94477188.0,118040177.33333333,149246500.33333334,137468276.33333334,353974569.3333333,175731992.66666666,262616695.0,719737140.0,683297862.6666666,118148833.33333333,206825271.33333334,761702066.0,250416904.66666666,362731377.6666667,642033828.6666666,117538910.0,248063358.0,464955244.0,477783189.0,504752176.6666667,130003423.66666667,690705641.3333334,98984752.0,608684782.0,120588071.0,132224173.66666667,115.08000000000006,112.74433333333326,105.32999999999994,107.63699999999999,122.67366666666663,112.68833333333338,116.41533333333336,114.67499999999997,116.08600000000007,112.78199999999988,5.417170233003775,1.0041145939116138,2.929995725494692,5.552680377959291,4.687325929243341,11.082414030770211,28.533240192516534,33.68570738376471,41.765988809877825,83526716.4149699,315367539.3116938,71102437.4244305,7232989.074260935,11972499.401170433,5829832.5953086475,12050857.860059857,13245048.214017741,25678626.786485173,19550097.156987373,500159854.6942679,3674662.516621482,6514955.169683595,21040858.48314625,20117616.506721813,9850016.00686801,457531167.0226121,21186388.28286671,12927924.348251699,348014940.681466,41857342.96382665,372095288.85684043,7056659.242014029,515558957.32714367,74589231.09718813,3664651.9185171127,5942282.220724725,7511298.250337921,6.537438106781604,9.79993348616892,6.684487040902957,4.564769326044856,16.96704542144374,20.318950866945215,1.365571431061453,5.651103697508889,6.548735984905815,23.523185753634657,253.86,0.28789542323234,0.165389611059195,3.6014429502120398,6.19880621077478,11.327312808750401,14.0141223306034,27.321858346870798,62.170090478212,431198839,56157514,142664692,126391161,163071028,143627922,363469183,188664188,291854267,740323519,105824619,122342467,209521756,738722762,273327064,373852576,116060596,141954847,261389862,681891006,500956354,75117033,134191438,991487131,126217236,612905184,127142142,140573677,122.347,123.733,113.048,112.46,141.504,136.104,115.83,120.908,123.293,139.938
224.24,222.67,0.09744444446747735,0.3313906926871404,2.973898207466713,16.548708019476816,61.19375208281385,152.65157354512098,246.999415925688,324.44975870380506,310540175.0,746157237.6666666,130082540.33333333,117127566.33333333,127653100.0,130375089.0,339675046.6666667,200897039.66666666,321460104.6666667,481911148.3333333,379787331.0,384923146.6666667,190520415.66666666,474297594.3333333,205057752.33333334,192356506.33333334,754172058.0,107410797.33333333,223303871.33333334,400432808.3333333,377333408.3333333,613247522.3333334,124427878.0,345442473.3333333,106857187.0,379466733.0,110785226.0,120603113.33333333,104.96600000000005,101.47466666666658,103.07800000000002,102.08300000000001,99.49700000000001,102.952,108.68166666666673,105.35266666666662,105.19500000000004,100.06699999999996,5.257860781724781,0.16861460676616835,0.2538706541173331,2.33114712169649,14.548065997586782,50.571183378353695,106.09225482927252,142.646050419986,154.1023634162229,67990410.33034247,168087513.77922103,5801099.314359679,5383569.872964411,4146099.29081627,1931842.3682723185,22397828.074107498,3319515.056729823,20837811.146775648,356749356.5120107,482994816.6666086,491772051.345462,2485971.346008638,352614033.49819154,7644001.796705487,164507226.8641029,28349804.34381703,6007408.560802456,1605082.2727914392,297148934.53043616,917673.3810497852,3681729.5352021675,1371719.393802154,447786619.7762068,79009637.76487319,281839115.474737,1326958.077845707,1375737.7397941365,1.1976794228841128,1.988059942087597,4.596858383722499,1.5122870097968424,7.704299254312476,5.800249304986759,0.6309749070551736,1.2618717578793162,1.8360032679709355,2.1784781385177605,226.02,0.0,0.32571428240119604,4.88870805442558,33.1526356809823,117.69549912660601,255.274275074614,343.280204987944,386.83625306516296,251267217,572155656,134028688,120918763,128669713,128645317,318590821,201290528,298008216,685739654,100978882,100362505,187665988,654064326,213814807,297909533,724444548,102204867,223923956,568363392,376315491,609351789,124583091,87303004,152467409,545109786,109330262,119114486,103.67,99.4,106.205,100.729,92.4,97.9,108.509,103.969,103.361,98.3
215.36,201.73666666666668,3.194679734245147,11.980795464778781,11.032863536170394,7.182904384170707,13.612060460964576,36.01324692104299,68.27159690421138,114.39689062465197,453857484.6666667,304390324.3333333,128310188.0,114569517.33333333,93334348.66666667,129031162.66666667,233564256.66666666,169225449.66666666,248076557.0,731378469.6666666,103412267.66666667,344743375.3333333,189224693.33333334,489850036.6666667,152014304.0,347901875.3333333,557704212.3333334,119959429.0,249520915.0,634524610.0,445098947.6666667,638804925.3333334,126717391.33333333,642021388.0,388144661.6666667,574436481.6666666,79743101.66666667,126109660.33333333,109.75866666666673,108.95233333333323,101.67333333333335,101.00733333333335,120.98,115.01533333333334,108.3586666666667,109.24633333333331,110.61066666666669,113.67466666666662,7.468040796174891,2.512348362364491,16.509642885341286,13.247490640009493,6.488548413184436,8.88876555531057,23.52970234873596,31.038328066903823,27.152438810077292,154452281.39846763,215543621.32734585,8512421.129782576,6485194.163642981,69947711.79533346,4517120.934101287,173449500.19021866,5330603.759417055,188885571.2090184,44770013.773274995,3345495.8604452047,412892402.6041078,15577126.131631166,359438079.32576615,114900584.86052936,8484027.324403381,406855164.0862582,14320811.982018648,6930067.703868453,21042330.284103576,21346184.22314057,9713515.461050736,6683274.76678336,475989748.6249564,427995070.04366535,5321154.645146832,59198973.87223029,7371564.216389582,6.415419575782524,5.919232241881899,6.744941388428335,3.5716496655374477,9.92909517529162,13.730500986247115,8.662054336780203,5.796139778622715,6.391043133427677,20.027345463973358,210.36,1.20200653461119,0.6074188315043489,1.06052014064169,1.12601550439474,4.04841930618953,18.5676994773936,40.55172892190621,99.87198944978941,622789111,420375516,118878504,107634281,114570562,124611905,331319957,165523048,30350135,680909302,101215924,111335736,172682799,662192542,192322779,351817335,667766799,115087246,241547002,610561206,420792415,645787852,119318347,916834644,881791698,568300854,107981537,117955419,102.662,105.147,94.2,97.5,118.939,110.344,99.4,102.686,103.542,101.904
221.75,224.80000000000004,9.432771237395416,31.12201297818582,53.93337247755705,95.93574150046045,145.53198542941357,211.79912232338097,235.51570448012316,315.77219605096747,155590533.0,568488406.0,133170216.0,119419608.66666667,138581337.0,125865130.0,135597075.33333334,147065353.0,301076483.3333333,486806594.6666667,670970443.6666666,105752684.66666667,182878584.66666666,481297235.0,217195607.66666666,337168247.3333333,522390541.0,73595480.66666667,243199132.33333334,631767079.3333334,415907014.3333333,639854701.0,83460281.33333333,916666107.0,109292055.66666667,583949958.0,44762323.0,86692115.0,106.30800000000009,98.25266666666658,105.5246666666667,98.51966666666668,93.73066666666661,100.11000000000003,112.9763333333334,106.12799999999999,106.47000000000004,102.67033333333329,8.847479867171458,8.43694495397564,17.098460269563077,23.040025973809215,61.25888226206154,85.43178802801603,124.86903961703413,121.68983426248191,170.92660873126562,128597271.33362007,66215598.398662716,3739089.4879700327,2858443.7478093547,8283292.305967491,3599959.282495396,177361730.10683662,4450791.5625742655,29178604.669881765,362143791.66364086,492897934.450916,3471390.951641143,9012349.860821698,353317716.1664716,10034544.69816123,14668859.791391414,391982534.37237924,54834732.604152314,4188608.901167069,15340966.225859046,16727854.808184693,7379725.150861963,61995809.95652861,7819896.011903995,81169713.7238147,3085376.63452558,58236697.99447988,64860034.478022344,3.259552730053669,5.138085376220776,2.9626819494053955,2.8750774482322465,9.019114221104699,1.440527333999325,2.80395120024083,3.4668204453070777,3.3017618024320985,1.0904684008873402,217.45,2.51963398239508,24.5400487025837,43.9033892906752,62.832868147266,96.31376852965393,176.157460197489,232.400030584982,313.30574903069197,271003281,636392469,137201539,122487138,147631087,127904447,34574984,151863772,334624539,743749195,913065176,102949915,181835445,73753936,222402327,347091937,805847423,105631346,247492017,646591375,435182157,631376882,11873833,925055818,167563089,586601268,11502888,125624312,109.336,103.558,108.719,100.149,103.592,101.277,115.211,109.388,109.484,103.383
252.26,228.51000000000008,1.1741612198825524,1.4113149360140624,2.969446309130665,2.856403102232973,6.588813087575054,22.854368366803012,33.29335365146534,43.71337638324358,639216306.3333334,686697386.3333334,76614339.0,108366516.0,363465898.0,92286923.0,371028071.6666667,167031290.66666666,299363220.0,702281136.6666666,683002274.3333334,116020146.66666667,185060659.66666666,672859224.0,150485123.66666666,235636648.0,728190371.0,127714902.0,250159102.66666666,645424128.0,416376742.0,267460448.66666666,120091784.33333333,967853928.3333334,664145838.0,586383482.6666666,115663470.66666667,126523773.33333333,110.11900000000004,108.71499999999993,94.03666666666665,104.28233333333331,123.83133333333332,122.45100000000002,108.44066666666673,109.99066666666664,111.86433333333339,106.39933333333325,10.771578343028674,0.9370354705445213,1.1025422496241173,0.43188064234440615,2.1846184444212287,7.460508554848222,14.002384388352697,10.952538021132161,16.16149809141881,39459126.26832923,266499062.49042222,65400334.351484425,8225731.766453724,530265253.3162822,68397640.24124822,26242894.36628772,2827522.7891626214,20142207.197348654,43790788.779025145,499098838.1907061,7574393.09177501,11232141.685439084,50240313.826400675,110921766.50993845,172488982.18368357,57221112.32578451,7843054.382937937,5467338.405036295,20396267.284102336,29208162.239133853,396095793.50850844,4253162.125723542,12279465.842231559,427914765.09330535,2329820.1471717246,7747650.032173401,8501973.744729249,7.399673979304751,4.89748149562624,7.005214724284595,5.385112843138331,3.9454318310336336,7.519861501384117,9.180971426452228,7.366331809885594,7.450258138704542,6.182784512930491,240.39,0.301111110125735,2.63392857619404,3.3578523517236296,3.2850697710763597,1.7795091539206105,17.9420412276733,37.669306949723,62.0757363353897,604293635,989463387,1274849,116629298,11003444,137869182,398309869,168017536,320923001,722324598,973741403,114125569,191653403,712848104,23084322,345909788,794244899,136146399,245500374,656663441,401701599,7204689,119281918,959994605,174722685,588907144,124034973,135721398,118.124,113.7,101.01,107.951,128.363,130.535,118.547,117.95,119.98,113.241
